commit_sha,filename,maintainability_index,complexity,num_lines,num_functions,num_classes,avg_function_length,avg_num_parameters,nesting_levels,num_comments,duplicated_code_warnings,num_imports,cyclic_dependencies,is_bug,bug_type
3e8ac12d1dacc2308b2f4c2869fa7bc2079bd323,pandas/tests/copy_view/test_replace.py,"3,28601E+16",92.0,363.0,26.0,0.0,"9,15385E+15",0.2692307692307692,4.0,10.0,0.0,6.0,0.0,0,NameError
4a28ba34af9a042dd4c146b463d17c273903c2c0,sklearn/compose/tests/test_column_transformer.py,0.0,301.0,2530.0,101.0,10.0,"9,14851E+15","1,19802E+15",12.0,108.0,0.0,11.0,0.0,0,NameError
4035bab56f2862a25cd7bfba41a84e58672cb1cc,tests/bulk_create/tests.py,"3,05539E+16",77.0,806.0,55.0,1.0,"5,34545E+15","1,05455E+16",3.0,18.0,0.0,5.0,0.0,1,NameError
7a3b03509e5e3e72d8c47137579cccb52548a318,Lib/test/test_math.py,0.0,258.0,2511.0,128.0,20.0,96875,1375,16.0,272.0,0.0,22.0,0.0,1,NameError
4ce39dbc699cd9cd33ab2b67ca029698713aec3e,sklearn/utils/tests/test_estimator_checks.py,"3,71669E+15",143.0,587.0,57.0,25.0,"4,17544E+15","1,85965E+16",6.0,57.0,0.0,33.0,0.0,1,NameError
a3196dac481410cf6fa7796cfe3b179df2d6a935,django/contrib/comments/managers.py,100.0,6.0,23.0,2.0,1.0,4.5,1.5,2.0,0.0,0.0,4.0,0.0,1,NameError
ebb927c4c997d4c8d9a55ec78cd2476a13bd1782,django/core/mail/message.py,"4,19563E+15",109.0,427.0,25.0,7.0,4.96,3.32,6.0,29.0,0.0,18.0,0.0,1,NameError
d3f00bd5706b35961390d3814dd7e322ead3a9a3,django/db/models/sql/subqueries.py,"5,42394E+15",73.0,292.0,20.0,6.0,4.3,2.6,8.0,7.0,0.0,12.0,0.0,0,NameError
53ebb6232a8ebc03827cf2251bfc67f1886ffd70,Lib/test/test_str.py,0.0,209.0,2770.0,161.0,39.0,"9,04969E+15","1,26087E+16",10.0,196.0,5.0,17.0,0.0,0,NameError
4d9ffcf83dc356c47e302c1558a40cf148019218,pandas/tests/groupby/aggregate/test_aggregate.py,"2,60288E+15",121.0,1664.0,101.0,3.0,"6,85149E+15",1.0,7.0,119.0,0.0,9.0,0.0,1,NameError
7b2669b8de4e6061e8e0f0697c54020eb16ffd4f,Lib/idlelib/OutputWindow.py,"6,62122E+15",33.0,137.0,12.0,2.0,"3,41667E+16","1,91667E+16",5.0,11.0,0.0,4.0,0.0,1,NameError
777b4c26e343d07764a35132462e92c07e4b0aec,django/contrib/sites/management.py,"8,87003E+15",8.0,37.0,1.0,0.0,4.0,4.0,5.0,7.0,0.0,3.0,0.0,0,NameError
